"case_id","message_id","message","creation_date","author","public"
9,"T59895312","Really cool tool to annotate and comment PDF files online: http://t.co/LsjRNf6g
@Crocodoc #pdf #collaboration","2012-04-07 11:18:57","customer","y"
11,"T60096771","I think @Crocodoc doc annotator may be my new best friend...thanks @2footgiraffe for prompting my investigation!","2012-04-09 00:48:03","customer","y"
11,"T60208292","@lauras2011 @2footgiraffe Glad to hear you're a fan! Let us know if there's anything we can do to make Crocodoc even better for your needs!","2012-04-09 15:36:37","ryan@crocodoc.com","y"
12,"T60097439","@lauras2011 @Crocodoc cool. Yes I am a big fan now as well!","2012-04-09 00:55:48","customer","y"
13,"T60209484","@Crocodoc is it usable with google docs?","2012-04-09 15:39:52","customer","y"
14,"T60214166","@Crocodoc maybe a chrome extension that allowed annotations in google docs.","2012-04-09 15:56:08","customer","y"
15,"T60214167","@Crocodoc the extension would save the annotations for that doc. The only question would be how to share the doc with others.","2012-04-09 15:56:08","customer","y"
16,"T60214170","@Crocodoc true. But don't think we can draw on the doc.","2012-04-09 15:56:09","customer","y"
17,"T60939818","@2footgiraffe What's your fav online tech sites like @crocodoc @cellyme etc been asked to do a possible tech pd #edtech #edchat","2012-04-11 23:26:09","customer","y"
23,"T62524489","@bucharesttutor @Eduware_Inc Try http://t.co/yNyXNFMp - works awesome! @crocodoc","2012-04-18 13:49:59","customer","y"
24,"T62524494","HT “@2footgiraffe: @Eduware_Inc Try http://t.co/CBCNw9Qc - works awesome! @crocodoc” #ipadchat thanks Adam :))","2012-04-18 13:49:59","customer","y"
25,"T62526924","@bucharesttutor @2footgiraffe @crocodoc Looks interesting, do they have an iPad app? #iPadChat","2012-04-18 13:58:24","customer","y"
26,"T62526930","@Eduware_Inc @bucharesttutor @crocodoc I think they said they have something in the works.","2012-04-18 13:58:24","customer","y"
27,"T62944855","Who's pages are going up? @Crocodoc is easy to use if you want to post them there. @WriterWarrior @moneymakermj @garyploski @dandollar","2012-04-19 19:11:54","customer","y"
28,"T63019290","@rdlln @Crocodoc @moneymakermj @garyploski @dandollar I'll definitely have pages, but it'll likely be on Tues night. I'll post roles though.","2012-04-19 23:50:23","customer","y"
29,"T63022433","@alijberman just reminded me that she has something she'd like to hear. @writerwarrior: @rdlln @Crocodoc @moneymakermj @dandollar","2012-04-20 00:06:17","customer","y"
31,"T65158682","@csterman @jonbergmann Not sure if this is what you're looking for but I like http://t.co/YbcbP6VH @Crocodoc #flipclass #edtech","2012-04-27 19:59:41","customer","y"
32,"T65568120","@crocodoc I love @crocodoc. Just wondering, would you make it possible to get a doc from a URL instead of uploading it?","2012-04-30 02:22:00","customer","y"
33,"T65838353","@Tunglerocks @screenleap @Crocodoc Hey, you have a shout-out in our article about @InvyApp's launch - check it out: http://t.co/VRO8TRVK","2012-04-30 22:06:24","customer","y"
38,"T66018534","@Crocodoc Thanks for talking to @drizzled about your new HTML5-based document embedding service - here's our article: http://t.co/z2v8zmF3","2012-05-01 15:16:07","customer","y"
39,"T66018539","#Cudos to @Crocodoc team MT @allthingsd HTML5 Start-Up Crocodoc Signs Up Dropbox, LinkedIn and SAP as Paying Customers http://t.co/9O6m1hQd","2012-05-01 15:16:08","customer","y"
45,"T66032469","Congrats to the @crocodoc team on their redesign and newly announced partnerships with @Dropbox, @LinkedIn, etc! Nice work, @ajoybhambani.","2012-05-01 15:58:03","customer","y"
46,"T66040993","I like this service. It makes viewing PDFs on mobile devices easy without downloading etc. @dropbox uses @crocodoc  http://t.co/6R50tws3","2012-05-01 16:23:24","customer","y"
47,"T66043824","@om @crocodoc congratulations guys!","2012-05-01 16:31:34","customer","y"
50,"T66046802","Always good things coming outta @crocodoc, one of the web's most underrated companies. http://t.co/FcHRzo50","2012-05-01 16:40:14","customer","y"
52,"T66055500","Go @Crocodoc! HTML5 Start-Up Crocodoc Signs Up Dropbox, LinkedIn and SAP as Paying Customers http://t.co/fpWeVmLT","2012-05-01 17:05:24","customer","y"
54,"T66058548","Proud to be an investor: @Crocodoc ’s cloud-based document service abolishes the need for desktop apps | VentureBeat: http://t.co/iQY6lPp5","2012-05-01 17:14:12","customer","y"
55,"T66058552","@crocodoc any plans on the editing/reviewing side?","2012-05-01 17:14:13","customer","y"
64,"T66117498","very cool HTML5 document viewing - https://t.co/WoDHMEW8 @Crocodoc","2012-05-01 20:10:46","customer","y"
67,"T66128627","FYI @crocodoc an email you're sending has the link https://t.co/zRWgO2wy which doesn't work with the trailing slash","2012-05-01 20:44:28","customer","y"
70,"T66144010","@Crocodoc - free online file markup service - adds new HTML5 technology http://t.co/QBz8QW8t #edtech #edchat #education","2012-05-01 21:34:16","customer","y"
86,"T66265852","At @webklipper,we loved @Crocodoc for PDF annotation capabilities.Good to hear about the change of focus- http://t.co/0NTriBVG","2012-05-02 09:17:10","customer","y"
87,"T66309547","@Crocodoc Hi guys! Just sent you a request for a production account. Talk to you soon.","2012-05-02 13:11:27","customer","y"
94,"T66428401","@Crocodoc My pleasure. Still waiting to hear from your sales team, probably a busy week for you!","2012-05-02 19:01:08","customer","y"
96,"T66450317","Mobile PDF is given new wings w copy and search functions by @Crocodoc, coming soon to @Dropbox   http://t.co/r2GHfIzL via @allthingsd","2012-05-02 20:09:32","customer","y"
97,"T66479806","RT @tdagroupusa: Mobile PDF is given new wings w copy and search functions by @Crocodoc, coming soon to @Dropbox   http://t.co/r2GHfIzL ...","2012-05-02 21:42:11","customer","y"
103,"T66654558","@Crocodoc looks hot.  They should come present at the upcoming @SFBeta ""The Future of Work"" #startup #SanFrancisco #Collaboration","2012-05-03 13:55:26","customer","y"
104,"T66657298","RT @RobGarciaSJ: @Crocodoc looks hot.  They should come present at the upcoming @SFBeta ""The Future of Work"" #st... http://t.co/BFwwyWho","2012-05-03 14:03:59","customer","y"
105,"T66676898","#Mobile #PDF is given new wings w copy and search functions by @Crocodoc, coming soon to @Dropbox   http://t.co/IYIYij1J via @allthingsd","2012-05-03 15:02:45","customer","y"
109,"T66830799","Great to see the photo I took for @Crocodoc on this article: YC-Backed Crocodoc Shifts Focus To Enterprise http://t.co/Dv9cXBBD","2012-05-03 22:27:25","customer","y"
110,"T66837335","@StevenLoi @pandodaily it's ok, those photos I gave to @crocodoc so they have ownership of them as well. No credit needed =)","2012-05-03 22:53:21","customer","y"
111,"T66845962","@art_chang @Crocodoc awesome! Where's the AC photo credit?","2012-05-03 23:27:22","customer","y"
112,"T66971042","Kewl!  Way to go, Ryan @crocodoc  http://t.co/lU3g6sPC","2012-05-04 12:13:53","customer","y"
117,"T67275937","@MatchesMalone get my email through the site or DM me yours. I send you pgs to rate/review along w/ you using @Crocodoc 4 notes on the page.","2012-05-05 15:20:45","customer","y"
118,"T67277051","@rdlln saw that about @Crocodoc and am going to learn that first.","2012-05-05 15:29:15","customer","y"
119,"T67344286","@MatchesMalone Great! Let me know if there's a particular genre you're interested in. I'll upload the pgs. to @Crocodoc + send you a pdf.","2012-05-05 23:31:56","customer","y"
125,"T67649172","RT @om: #Startup @Crocodoc Rethinks Office & PDF Files for Mobile Web -@GigaOM: http://t.co/Iik2RqrN  #MobileDevices #PDF #MicrosoftOffice","2012-05-07 13:59:52","customer","y"
126,"T67692198","Great new #LinkedIn feature from @crocodoc http://t.co/dl2ie9sW","2012-05-07 16:00:26","customer","y"
134,"T68313076","@ScriptQuack sent you a DM re: guest review. @AmyMSuto + @dandollar sent your next @Crocodoc's via email.","2012-05-09 11:47:27","customer","y"
144,"T68900979","@Crocodoc Going to use your API in a Rails app I'm building this weekend @CodeAcademy's Hackathon. Any tips or tricks outside of the docs?","2012-05-11 03:58:10","customer","y"
145,"T68971448",".@AndreaZellner See a related @HybridPed post on document markup. Tried @Crocodoc? http://t.co/MKeHu9nf","2012-05-11 11:54:30","customer","y"
146,"T68972997","@allistelling @hybridped @crocodoc not yet, but I will! Thanks :)","2012-05-11 12:03:22","customer","y"
148,"T69346657","Spent the last 48 hours getting to know @Crocodoc. Awesome service for anyone that has to deal with documents.","2012-05-13 05:29:04","customer","y"
148,"T69489736","@scottweisman Awesome. Would love to hear how it went! ryan@crocodoc.com","2012-05-14 04:47:49","ryan@crocodoc.com","y"
149,"T69736866","@Crocodoc  http://t.co/HSGjLlyc","2012-05-14 20:38:02","customer","y"
151,"T69819929","@Crocodoc this is a test","2012-05-15 02:46:52","customer","y"
178,"T72596813","@Crocodoc I am having a little issue using crocodoc api in my php app. Can any one help. Thanks.","2012-05-24 21:15:03","customer","y"
192,"T73617355","@Crocodoc What is the best way to get some questions answered about your product?","2012-05-29 16:48:52","customer","y"
195,"T73699315","How do I love thee, @Crocodoc? Let me count the ways. Yes, I'm a fan! Currently figuring out how best to use it for #writing classes.","2012-05-29 20:33:28","customer","y"
196,"T73710762","Drop a note to contact@crocodoc.com RT @Lizoot: @Crocodoc What is the best way to get some questions answered about your product?","2012-05-29 21:05:54","customer","y"
198,"T73764623","Just drop us a note at support@crocodoc.com RT @Lizoot: @Crocodoc What is the best way to get some questions answered about your product?","2012-05-30 00:24:14","customer","y"
210,"T74617660","Figured out how to use @Crocodoc to create a student- AND teacher-friendly online dropbox for electronic files. #edtech cc @jegazouille","2012-06-01 14:56:08","customer","y"
216,"T75416783","@Crocodoc I just applied for your Administration & Support position! I would enjoy sitting down for a quick chat/coffee. This week open?","2012-06-04 23:07:40","customer","y"
217,"T75420554","@mateolargo @bennettrogers Great job with @crocodoc! Would love to talk to you about the Admin. & Supp. pos. you have open. Exciting role.","2012-06-04 23:22:53","customer","y"
223,"T75714393","Implementing the new @Crocodoc v2 API - awesome! #html5 #crocodoc","2012-06-05 20:56:24","customer","y"
231,"T76021618","@zanytomato Crocodoc is doing some neat neat work! embedded docs ftw! @crocodoc #embeddeddocs #html5","2012-06-06 19:36:20","customer","y"
233,"T76090043","Crocodoc is Hiring | @Crocodoc - http://t.co/o5wLZF5E has some kick-ass momentum underway.....","2012-06-06 23:17:44","customer","y"
236,"T76220975","If you need to display PDF documents on a webpage, check out @Crocodoc https://t.co/y8fOGLiX - just amazing.","2012-06-07 12:04:53","customer","y"
243,"T76775289","The startup game is long odds, friend-o.  Go long @crocodoc","2012-06-09 02:00:32","customer","y"
251,"T77784655","@mybigcampus have you thought of using @crocodoc for assignment marking?  Please do!!!!","2012-06-12 21:20:00","customer","y"
252,"T77808688","Enjoyed meeting the founders of @Crocodoc, four MIT grads rethinking PDF's for the mobile web. http://t.co/jLt5RHuq","2012-06-12 22:38:08","customer","y"
256,"T77995951","Does the #JavaScript API For #Crocodoc have a #JSONP service to create sessions? @crocodoc","2012-06-13 14:42:57","customer","y"
256,"T78071178","@js_consultant You can create sessions using our server-side API. Let us know if you need a hand with anything!","2012-06-13 17:59:48","ryan@crocodoc.com","y"
256,"T78386144","@Crocodoc No clientside creation :( ?","2012-06-14 15:57:18","customer","y"
258,"T78213514","Crocodoc is Hiring - http://t.co/o5wLZF5E @crocodoc is looking for unusual business development and software development team members","2012-06-14 02:14:40","customer","y"
259,"T78373881","@Crocodoc is Hiring. Awesome team and company - https://t.co/rnD7bo0I","2012-06-14 15:25:29","customer","y"
266,"T78911208","@Crocodoc http://t.co/Jyw5UWhm","2012-06-16 01:54:38","customer","y"
268,"T78963972","@Crocodoc Ya shood let us help ya with biz dev and eerr marketing :)","2012-06-16 11:31:34","customer","y"
270,"T79243659",". @Crocodoc is growing + profitable w/ customers including Dropbox, Linkedin. Join the team! http://t.co/044MioRR","2012-06-18 06:15:12","customer","y"
272,"T79271350","@Crocodoc hi, is it possible to check if doc has annotations before the embed","2012-06-18 09:16:20","customer","y"
272,"T79411430","@ladushki Not right now. Our Webhooks functionality (http://bit.ly/M7THnU) can be used to track it yourself!","2012-06-19 01:40:40","matt@crocodoc.com","y"
288,"T80398341","@Jessifer, see this: @500: . @Crocodoc is growing ..  Join the team! http://t.co/dFeFw038","2012-06-21 14:34:06","customer","y"
330,"T82823618","@CrankyIntern did you get my email w/  link for @Crocodoc for the Feedback Friday guest review?","2012-06-29 17:01:21","customer","y"
